University Name,State,Country,Course Name,Average Fees (Per Year),Currency
University of Connecticut,Connecticut,United States,MS in Data Science,39750.0,USD
"New York Institute of Technology, NY Campus",New York,United States,MS in Data Science,48600.0,USD
State University of New York (Albany),New York,United States,MS in Data Science,28774.0,USD
University of Victoria,British Columbia,Canada,MEng in Applied Data Science,40000.0,CAD
Drexel University,Pennsylvania,United States,MS in Machine Learning and Artificial Intelligence,31410.0,USD
Drexel University,Pennsylvania,United States,MS in Data Science,41880.0,USD
Rice University,Texas,United States,Masters in Data Science,59784.0,USD
Delft University of Technology,South Holland,Netherlands,Masters in Computer Science: Data Science & Technology,20.0,EUR
The University of Melbourne,Victoria,Australia,Masters in Data Science,53562.0,AUD
Pace University,New York,United States,MS in Data Science,31800.0,USD
Pace University,New York,United States,MS in Accounting Data Analytics,39188.0,USD
The University of Chicago,Illinois,United States,MS in Applied Data Science,66924.0,USD
The University of Chicago,Illinois,United States,MS in Data Science,38826.0,USD
Kansas State University,Kansas,United States,MS in Data Analytics,20140.0,USD
Worcester Polytechnic Institute,Massachusetts,United States,MS in Data Science,32200.0,USD
San Francisco State University,California,United States,MS in Statistical Data Science,16275.0,USD
Wichita State University,Kansas,United States,MS in Data Science,16020.0,USD
Brown University,Rhode Island,United States,MSc in Data-Enabled Computational Engineering and Science,48704.0,USD
Brown University,Rhode Island,United States,MSc in Social Data Analytics,65656.0,USD
Brown University,Rhode Island,United States,MSc in Data Science,85626.0,USD
National University Of Singapore,Singapore,Singapore,MSc in Data Science & Machine Learning,51000.0,SGD
"California State University, Chico",California,United States,MS in Data Science and Analytics,16507.0,USD
The University of Central Missouri,Missouri,United States,MS in Data Science and Artificial Intelligence,10680.0,USD
The University of Central Missouri,Missouri,United States,MS in Big Data Analytic And Information Technology,14240.0,USD
Southern Methodist University,Texas,United States,MS in Data Engineering,24000.0,USD
University of San Francisco,California,United States,MS in Data Science - Data Engineering Concentration,35690.0,USD
University of San Francisco,California,United States,MS in Data Science,58100.0,USD
University of Illinois at Springfield,Illinois,United States,MS in Data Analytics,12276.0,USD
Kent State University,Ohio,United States,MS in Data Science,15990.0,USD
Lehigh University,Pennsylvania,United States,MS in Data Science,47700.0,USD
Florida International University,Florida,United States,MS in Data Science & Artificial Intelligence,20040.0,USD
University of Alabama at Birmingham,Alabama,United States,MS in Data Science,24460.0,USD
University of Oklahoma,Oklahoma,United States,MS in Data Science and Analytics,33677.0,USD
University of Iowa,Iowa,United States,MS in Data Science,25170.0,USD
Texas A&M University - Corpus Christi,Texas,United States,MS in Data Science,15138.0,USD
Western University,Ontario,Canada,Masters in Data Analytics,59655.0,CAD
Washington University in St. Louis,Missouri,United States,MS in Engineering Data Analytics & Statistics,64500.0,USD
DePaul University,Illinois,United States,MS in Data Science,22920.0,USD
DePaul University,Illinois,United States,MS in Data Science - Health Care,23868.0,USD
"University of Missouri, Columbia",Missouri,United States,MS in Data Science and Analytics,16711.0,USD
The University of New South Wales,New South Wales,Australia,Masters in Health Data Science,39003.0,AUD
The University of New South Wales,New South Wales,Australia,Masters in Data Science and Decisions,54000.0,AUD
Imperial College London,London,United Kingdom,MSc in Health Data Analytics and Machine Learning,43250.0,GBP
Imperial College London,London,United Kingdom,MSc in Data Science And Analytics,34750.0,GBP
Monash University,Victoria,Australia,Masters in Data Science,49500.0,AUD
University of Wisconsin-Milwaukee,Wisconsin,United States,MS in Data Science,27690.0,USD
Western Michigan University,Michigan,United States,Masters in Data Science,18352.0,USD
University of Massachusetts Dartmouth,Massachusetts,United States,MS in Data Science,18480.0,USD
University of Texas at San Antonio,Texas,United States,MS in Data Analytics,31420.0,USD
University of Delaware,Delaware,United States,MS in Data Science,16962.0,USD
Texas State University,Texas,United States,MS in Data Analytics and Information System,21309.0,USD
ETH Zurich,Z'rich,Switzerland,MSc in Data Science,1460.0,CHF
Nanyang Technological University,Singapore,Singapore,MSc in Data Science,39458.0,SGD
University of Cambridge,Cambridgeshire,United Kingdom,MPhil in Data Intensive Science,35526.0,GBP
University of Oxford,Oxfordshire,United Kingdom,MSc in Social Data Science,33970.0,GBP
Mississippi State University,Mississippi,United States,MS in Data Science,29360.0,USD
Utah State University,Utah,United States,MS in Data Science,56080.0,USD
Tufts University,Massachusetts,United States,MS in Data Science,51900.0,USD
Hamburg University of Technology,Hamburg,Germany,MSc in Data Science,674.0,EUR
Deakin University,Victoria,Australia,Masters in Data Science,39800.0,AUD
Deakin University,Victoria,Australia,Masters in Data Science (Professional),39800.0,AUD
Northern Arizona University,Arizona,United States,Graduate certificate in Data Science,30348.0,USD
Ludwig Maximilian University of Munich,Bavaria,Germany,MSc in Data Science,,EUR
The University of Sydney,New South Wales,Australia,Masters in Data Science,55100.0,AUD
University of Sydney,New South Wales,Australia,MEng in  Digital Health and Data Science,50500.0,AUD
RMIT University,Victoria,Australia,Masters in Data Science,39360.0,AUD
Louisiana State University,Louisiana,United States,MS in Analytics,29448.0,USD
University of New Hampshire,New Hampshire,United States,MS in Analytics,16380.0,USD
University of Notre Dame,Indiana,United States,MS in Data Science,33714.0,USD
Technische Universität Darmstadt,Hesse,Germany,MA in Data and Discourse Studies,,EUR
The University of Edinburgh,Edinburgh,United Kingdom,MSc in Operational Research with Data Science,29900.0,GBP
The University of Edinburgh,Edinburgh,United Kingdom,MSc in Data Science,40900.0,GBP
University of Glasgow,Glasgow City,United Kingdom,MSc in Data Analytics,31860.0,GBP
University of Glasgow,Glasgow City,United Kingdom,MSc in Data Science,31860.0,GBP
University of Glasgow,Glasgow City,United Kingdom,MSc in Data Analytics For Economics & Finance,30240.0,GBP
University College London,London,United Kingdom,MSc in Data Science,41000.0,GBP
University College London,London,United Kingdom,MSc in Data Science and Machine Learning,37500.0,GBP
Lawrence Technological University,Michigan,United States,MS in Business Data Analytics,43650.0,USD
University of Guelph,Ontario,Canada,Masters in Data Science,42000.0,CAD
Colorado School of Mines,Colorado,United States,MS in Data Science,46200.0,USD
Friedrich-Alexander-Universität Erlangen-Nürnberg,Bavaria,Germany,MSc in Data Science,,EUR
Vanderbilt University,Tennessee,United States,MS in Data Science,54744.0,USD
The University of Queensland,Queensland,Australia,MS in Data Science,51200.0,AUD
The University of Queensland,Queensland,Australia,Masters in Data Science (24 Units),51200.0,AUD
Technical University of Dortmund,North Rhine-Westphilia,Germany,MSc in Data Science,600.0,EUR
Penn State Great Valley,Pennsylvania,United States,Masters in Professional Studies in Data Analytics,38300.0,USD
Penn State Great Valley,Pennsylvania,United States,MS in Data Analytics,28725.0,USD
Australian National University,Australian Capital Territory,Australia,Masters in Applied Data Analytics,50760.0,AUD
"The City College of New York, CCNY",New York,United States,MS in Data Science and Engineering,17100.0,USD
Georgetown University,District of Columbia,United States,MS in Data Science and Analytics,57519.0,USD
University of Memphis,Tennessee,United States,MS in Data Science,16137.0,USD
Trent University,Ontario,Canada,MSc in Applied Modelling and Quantitative Methods (Thesis),22276.0,CAD
Trent University,Ontario,Canada,MSc in Big Data Financial Analytics: Applied Modelling and Quantitative Methods,29013.0,CAD
