University Name,State,Country,Course Name,Average Fees (Per Year),Currency
University of Guelph,Ontario,Canada,MA in Psychology,13674.0,CAD
Friedrich-Alexander-Universität Erlangen-Nürnberg,Bavaria,Germany,Masters in Psychology,,EUR
Ohio University,Ohio,United States,MS in Psychological Science,32370.0,USD
Laval University,Quebec,Canada,MA in psychology - with dissertation,15224.0,CAD
The University of Queensland,Queensland,Australia,Masters in Business Psychology (32 Units),51200.0,AUD
"California State University, San Bernardino",California,United States,MA in Psychological Science,16236.0,USD
California Polytechnic State University,California,United States,MS in Psychology,19260.0,USD
Australian National University,Australian Capital Territory,Australia,Masters in Professional Psychology,52100.0,AUD
"California State Polytechnic University, Pomona",California,United States,MS in Psychology,29520.0,USD
University of New Mexico,New Mexico,United States,MA in Educational Psychology,18728.0,USD
Brock University,Ontario,Canada,Masters in Psychology,23502.0,CAD
"The City College of New York, CCNY",New York,United States,Masters in General Psychology,17100.0,USD
Western Illinois University,Illinois,United States,Masters in Experimental Psychology,39228.0,USD
Western Illinois University,Illinois,United States,MS in Clinical/Community Mental Health Psychology,21252.0,USD
Indiana State University,Indiana,United States,MA in Experimental Psychology,28320.0,USD
Eastern Michigan University,Michigan,United States,MS in Master's in Psychology - Clinical Behavioral,36470.0,USD
University of Memphis,Tennessee,United States,MS in General Psychology,15593.0,USD
Fairleigh Dickinson University,New Jersey,United States,MA in Forensic Psychology,15528.0,USD
Fairleigh Dickinson University,New Jersey,United States,Masters in General Theoretical Psychology,17766.0,USD
Trent University,Ontario,Canada,MSc in Psychology(Thesis),20997.0,CAD
Bowling Green State University,Ohio,United States,Masters in Psychology,13848.0,USD
The University of Adelaide,South Australia,Australia,Masters in Psychology (Health),43000.0,AUD
The University of Adelaide,South Australia,Australia,Masters in Psychology (Organisational and Human Factors),43000.0,AUD
Seattle University,Washington,United States,Masters in Psychology,27540.0,USD
State University of New York at New Paltz,New York,United States,Masters in Psychological Sciences,17860.0,USD
University of Oregon,Oregon,United States,MA in Psychology,50220.0,USD
University of Denver,Colorado,United States,MA in School Psychology,70030.0,USD
University of Denver,Colorado,United States,MA in Forensic Psychology,48594.0,USD
University of Warwick,Coventry,United Kingdom,MSc in  Psychological Research,31450.0,GBP
University of Missouri-St. Louis,Missouri,United States,M.A in Psychology Science,20504.0,USD
University of Leeds,Leeds,United Kingdom,MSc in Business Psychology,24250.0,GBP
Curtin University,Western Australia,Australia,MRes in Research (Psychology),40800.0,AUD
"Curtin University, Perth",Western Australia,Australia,Masters in Psychology (Professional),36900.0,AUD
Pittsburg State University,Kansas,United States,"MS in Psychology, Behavior Analysis",19560.0,USD
Pittsburg State University,Kansas,United States,MS in General Psychology,20022.0,USD
The University of Auckland,Auckland,New Zealand,MA in Psychology,37891.0,NZ
The University of Auckland,Auckland,New Zealand,Graduate Diploma in Applied Psychology,25579.0,NZ
The University of Auckland,Auckland,New Zealand,MS in Organisational Psychology,44526.0,NZ
University of Miami,Florida,United States,MS in Applied Behavior Analysis,46473.0,USD
Old Dominion University,Virginia,United States,MS in Psychology,23698.0,USD
"City University Of New York, Brooklyn College",New York,United States,MA in Experimental Psychology,15390.0,USD
"California State University, San Marcos",California,United States,MA in Psychological Science,22935.0,USD
Oakland University,Michigan,United States,Masters in Psychology,18486.0,USD
"Minnesota State University, Mankato",Minnesota,United States,MA in Clinical Psychology,16025.0,USD
University of Northern British Columbia,British Columbia,Canada,MSc in Psychology,7479.0,CAD
"California State University, Dominguez Hills",California,United States,MA in Psychology(Clinical Psychology),15164.0,USD
University of Akron,Ohio,United States,MA in Psychology,14585.0,USD
University of North Carolina at Greensboro,North Carolina,United States,Masters in Psychology (General Experimental Psychology),19505.0,USD
King's College London,London,United Kingdom,MSc in Organisational Psychiatry and Psychology,37368.0,GBP
King's College London,London,United Kingdom,MSc in Health Psychology,37368.0,GBP
King's College London,London,United Kingdom,MSc  in Early Intervention in Psychosis,32940.0,GBP
King's College London,London,United Kingdom,MSc in Developmental Psychology & Psychopathology,32940.0,GBP
University of Amsterdam,Amsterdam,Netherlands,Masters in Cultural Psychology,16900.0,EUR
University of Wollongong,New South Wales,Australia,Masters in Professional Psychology,34224.0,AUD
La Trobe University,Melbourne,Australia,Masters in Psychological Science (Research),39600.0,AUD
The University of Manchester,Manchester,United Kingdom,MRes  in Experimental Psychology with Data Science,25500.0,GBP
Freie University of Berlin,Berlin,Germany,Masters in Psychology,,EUR
Villanova University,Pennsylvania,United States,MS in Psychology,13350.0,USD
"University of Nebraska, Omaha",Nebraska,United States,MA in Psychology,14910.0,USD
University of Idaho,Idaho,United States,MS in Psychology,24290.0,USD
Adelphi University,New York,United States,MA in General Psychology,26820.0,USD
New Mexico State University,New Mexico,United States,MA in Experimental Psychology,19026.0,USD
Auckland University of Technology,Auckland,New Zealand,Masters in Psychotherapy,47274.0,NZ
Florida Atlantic University,Florida,United States,MA in Psychology,18468.0,USD
"University of Nevada, Reno",Nevada,United States,M.S. in Behavior Analysis,21060.0,USD
University of Twente,Overijssel,Netherlands,MSc in Psychology,11500.0,EUR
University of Bonn,North Rhine-Westphilia,Germany,Masters in Traffic Psychology,,EUR
Marshall University,West Virginia,United States,MA in Psychology,20574.0,USD
Humboldt University of Berlin,Berlin,Germany,MSc in Mind and Brain,,EUR
Humboldt University of Berlin,Berlin,Germany,Masters in Psychology,,EUR
Wilfrid Laurier University,Ontario,Canada,MSc in Psychology,21171.0,CAD
Wilfrid Laurier University,Ontario,Canada,MA in Psychology,21171.0,CAD
Otto-von-Guericke University Magdeburg,Saxony-Anhalt,Germany,Masters in Psychology,,EUR
University of Minnesota Duluth,Minnesota,United States,MA in Psychological Science,25886.0,USD
London School of Economics and Political Science,London,United Kingdom,MSc in Organisational and Social Psychology,25920.0,GBP
University of Canterbury,Canterbury,New Zealand,MSc in Psychology,40000.0,NZ
University of Canterbury,Canterbury,New Zealand,MA(Thesis) in Psychology,33000.0,NZ
University of Canterbury,Canterbury,New Zealand,MSc in Child and Family Psychology,40000.0,NZ
University of the Pacific,California,United States,MA in Behavioral Psychology,24795.0,USD
"University of the Pacific, Stockton",California,United States,Masters in Psychology,,USD
Howard University,District of Columbia,United States,MS in Psychology,28217.0,USD
The University of Western Australia,Western Australia,Australia,MS in Business Psychology,40900.0,AUD
University of Louisiana at Lafayette,Louisiana,United States,MS in Psychology,25340.0,USD
University of Central Oklahoma,Oklahoma,United States,MS in Psychology - General,13424.0,USD
University of Houston-Victoria,Texas,United States,MA in Forensic Psychology,25575.0,USD
University of South Alabama,Alabama,United States,Masters in Psychology,16848.0,USD
"California Polytechnic State University, San Luis Obispo",California,United States,MS in Psychology,20282.0,USD
University of Groningen,Groningen,Netherlands,MSc in Theory and History of Psychology,16201.0,EUR
University of Groningen,Groningen,Netherlands,MSc in Cognitive Psychology and Psychophysiology,16201.0,EUR
University of Groningen,Groningen,Netherlands,MSc in Talent Development and Creativity,16200.0,EUR
University of Groningen,Groningen,Netherlands,MSc in Psychology,14816.0,EUR
University of Birmingham,Birmingham,United Kingdom,MSc in Computational Neuroscience and Cognitive Robotics,21150.0,GBP
University of Birmingham,Birmingham,United Kingdom,MSc in Psychology,26280.0,GBP
Griffith University,Queensland,Australia,Masters in Professional Psychology,31000.0,AUD
Lancaster University,Lancashire,United Kingdom,MS in Psychology of Advertising,25700.0,GBP
Lancaster University,Lancashire,United Kingdom,MSc in Psychological Research Methods,29150.0,GBP
Texas Southern University,Texas,United States,MA in Psychology,14000.0,USD
Appalachian State University,North Carolina,United States,Masters in Industrial-Organizational Psychology and Human Resource Management (IOHRM),28101.0,USD
Appalachian State University,North Carolina,United States,MA in Psychology,19669.0,USD
California Baptist University,California,United States,MS in Industrial-Organizational Psychology,19886.0,USD
California Baptist University,California,United States,MS in Sport and Performance Psychology,22050.0,USD
Cardiff University,Cardiff,United Kingdom,MSc in Psychology,28200.0,GBP
Loughborough University,Leicestershire,United Kingdom,MSc in Work Psychology,28100.0,GBP
University of Tasmania,Tasmania,Australia,Masters in Professional Psychology,35950.0,AUD
Lund University,Sk'ne l'n,Sweden,MS in Psychology,,SEK
"City University Of New York, Queens College",New York,United States,MA in Psychology,15390.0,USD
Eberhard Karls University of Tübingen,Baden-Warttemberg,Germany,Masters in Psychology,3000.0,EUR
Ball State University,Indiana,United States,MA in Sport and Exercise Psychology,19751.0,USD
College of William & Mary,Virginia,United States,MS in Psychological Sciences,29352.0,USD
Acadia University,Nova Scotia,Canada,MSc in Psychology,13747.0,CAD
University of Liverpool,Liverpool,United Kingdom,MSc in Psychology (Conversion),26400.0,GBP
University of Liverpool,Liverpool,United Kingdom,MPhil in Psychology,12125.0,GBP
University of Liverpool,Liverpool,United Kingdom,MSc in Organisational Psychology,27500.0,GBP
University of Liverpool,Liverpool,United Kingdom,MSc in Research Methods in Psychology,24400.0,GBP
University of Liverpool,Liverpool,United Kingdom,MSc in Investigative and Forensic Psychology,23200.0,GBP
University of Liverpool,Liverpool,United Kingdom,MSc in Occupational and Organisational Psychology,24000.0,GBP
Southern New Hampshire University,New Hampshire,United States,Masters in Psychology & Law,,USD
The University of Sheffield,Sheffield,United Kingdom,MSc in Occupational Psychology,26200.0,GBP
The University of Sheffield,Sheffield,United Kingdom,MSc in Psychology and Education,21400.0,GBP
The University of Sheffield,Sheffield,United Kingdom,MSc in Psychology and Education (Conversion),20950.0,GBP
The University of Sheffield,Sheffield,United Kingdom,MSc in Work Psychology,27500.0,GBP
University of Lethbridge,Alberta,Canada,MA in Psychology,18471.0,CAD
"University of British Columbia, Okanagan",British Columbia,Canada,Masters in Psychology- psychological science,91313.0,CAD
Newcastle University,Newcastle upon Tyne,United Kingdom,MPhil in Psychology,27300.0,GBP
University of Strathclyde,Glasgow City,United Kingdom,MSc in Research Methods in Psychology,17400.0,GBP
University of Strathclyde,Glasgow City,United Kingdom,MSc in Work & Organisational Psychology,23200.0,GBP
University of Tulsa,Oklahoma,United States,MA in Clinical Psychology,31253.0,USD
Kingston University London,Kingston upon Thames,United Kingdom,MSc in Psychology,15900.0,GBP
Kingston University London,Kingston upon Thames,United Kingdom,MSc in Clinical Applications of Psychology,16200.0,GBP
Kingston University London,Kingston upon Thames,United Kingdom,MSc in Occupational and Business Psychology,17900.0,GBP
Victoria University,Victoria,Australia,Masters in Applied Psychology (Community Psychology),31000.0,AUD
Victoria University,Victoria,Australia,MS in Professional Psychology,32500.0,AUD
Western Sydney University,New South Wales,Australia,Masters in Professional Psychology,38400.0,AUD
Massey University,Manawatu-Wanganui,New Zealand,Postgraduate Diploma in Science and Technology (Psychology),37210.0,NZ
Massey University,Manawatu-Wanganui,New Zealand,MA in Psychology,32667.0,NZ
University of Tennessee at Chattanooga,Tennessee,United States,MS in Psychological Science,16056.0,USD
University of Tennessee at Chattanooga,Tennessee,United States,MS in Psychology: Research,7992.0,USD
Brandeis University,Massachusetts,United States,MA in Psychology,57860.0,USD
"James Cook University, Townsville",Queensland,Australia,Masters in Psychology (Clinical),41200.0,AUD
Central Connecticut State University,Connecticut,United States,Masters in Psychology,26072.0,USD
Arkansas Tech University,Arkansas,United States,MS in Psychology,16620.0,USD
University of Hawaii at Manoa,Hawaii,United States,MA in Psychology,21030.0,USD
"Heidelberg University, Ruperto Carola",Baden-Warttemberg,Germany,Masters in Psychology,,EUR
Golden Gate University,California,United States,MA in Master of Arts in Industrial Organisational Psychology,21255.0,USD
The University of Rhode Island,Rhode Island,United States,Masters in Psychology,,USD
University of Texas Rio Grande Valley,Texas,United States,MA in Clinical Psychology,26601.0,USD
University of Mannheim,Baden-Warttemberg,Germany,Masters in Psychology with a focus on cognitive and clinical psychology,4500.0,EUR
Flinders University,South Australia,Australia,Masters in Cognitive Psychology and Educational Practice,34000.0,AUD
Flinders University,South Australia,Australia,Masters in Psychology(Clinical),39000.0,AUD
Flinders University,South Australia,Australia,Masters in Professional Psychology,39300.0,AUD
Edith Cowan University,Western Australia,Australia,Masters in Professional Psychology,,AUD
Edith Cowan University,Western Australia,Australia,Masters in Clinical Psychology,37700.0,AUD
Montclair State University,New Jersey,United States,MA in Psychological Sciences,15838.0,USD
Claremont Graduate University,California,United States,MA in Positive Health Psychology,48480.0,USD
University of Texas - Pan American,Texas,United States,Masters in Psychology,,USD
University of Newcastle,New South Wales,Australia,Masters in Professional Psychology,45625.0,AUD
The University of Maine,Maine,United States,MA in Psychological Science,25440.0,USD
Midwestern State University,Texas,United States,Masters in Psychology,35163.0,USD
University of South Dakota,South Dakota,United States,MA in Psychology: Clinical Psychology,12099.0,USD
University of Leicester,Leicester,United Kingdom,MSc in Psychology,21500.0,GBP
University of Leicester,Leicester,United Kingdom,MRes in Research Methods in Psychology,21000.0,GBP
University of North Florida,Florida,United States,Masters in Psychology,,USD
"City, University of London",London,United Kingdom,MPhil in Psychology,12730.0,GBP
Saint Joseph's University,Pennsylvania,United States,Masters in Psychology,24264.0,USD
Indiana Institute of Technology,Indiana,United States,Masters in Psychology,16995.0,USD
American University,Washington,United States,MA in Psychology,31713.0,USD
University of Nottingham,Nottingham,United Kingdom,MSc in Management Psychology,26250.0,GBP
University of Nottingham,Nottingham,United Kingdom,MA in Person-Centred Experiential Counselling and Psychotherapy Practice,24000.0,GBP
University of Nottingham,Nottingham,United Kingdom,MSc in Occupational Psychology,25000.0,GBP
University of Nottingham,Nottingham,United Kingdom,MSc in Health Psychology,25250.0,GBP
University of Nottingham,Nottingham,United Kingdom,MSc in Psychology (Conversion),28600.0,GBP
University of Nottingham,Nottingham,United Kingdom,MSc in Psychology in Clinical Practice,15850.0,GBP
Western Kentucky University,Kentucky,United States,MS in Psychology,17631.0,USD
East Tennessee State University,Tennessee,United States,Masters in Psychology,,USD
Charles Sturt University,New South Wales,Australia,Postgraduate Diploma in Psychology,,AUD
Heriot-Watt University,Edinburgh,United Kingdom,MSc in Business Psychology with Human Resource Management,20376.0,GBP
Brunel University,London,United Kingdom,"MSc in Psychology, Culture and Evolution",23615.0,GBP
Dallas Baptist University,Texas,United States,MA in Psychology,38130.0,USD
University of Waikato,Waikato,New Zealand,MSc(Research) in Psychology,37145.0,NZ
University of Waikato,Waikato,New Zealand,MSc in Psychology,37145.0,NZ
University of Waikato,Waikato,New Zealand,MAppPsy in Applied Psychology,37780.0,NZ
University of Waikato,Waikato,New Zealand,MA in Psychology,49795.0,NZ
University of Waikato,Waikato,New Zealand,MPhil  in Psychology,28675.0,NZ
University of Waikato,Waikato,New Zealand,MSocSc in Psychology,49795.0,NZ
Murray State University,Kentucky,United States,MS in General Experimental Psychology,10062.0,USD
Murray State University,Kentucky,United States,Masters in General Experimental Psychology,10368.0,USD
Tulane University,New York,United States,Masters in Psychology,,USD
Laurentian University,Sudbury,Canada,MA in Psychology,7180.0,CAD
Leipzig University,Sohag,Germany,Masters in Psychology,,EUR
Victoria University of Wellington,Wellington,New Zealand,MHlthPsyc in Health Psychology,38900.0,NZ
University of Bristol,Bristol,United Kingdom,MSc in Psychology (Conversion),27900.0,GBP
University of Bristol,Bristol,United Kingdom,MSc in Psychology of Education,25200.0,GBP
Sam Houston State University,Texas,United States,Masters in Psychology,13109.0,USD
Keio University,Tokyo,Japan,Masters in Psychology,,JP
Queen's University Belfast,Belfast,United Kingdom,MPHIL in Psychology,22700.0,GBP
Queen's University Belfast,Belfast,United Kingdom,MSc in Psychological Science,22700.0,GBP
Erasmus University Rotterdam,South Holland,Netherlands,MSc in Forensic and Legal Psychology,15700.0,EUR
