University Name,Address,lat,long,geometry
ESIEE Paris,"ESIEE Paris, Paris, France",48.839417999999995,2.58364873614239,POINT (2.58364873614239 48.839417999999995)
Yeshiva University,"Yeshiva University, New York, United States",40.85204,-73.92847,POINT (-73.92847 40.85204)
University of Bradford,"University of Bradford, Bradford, United Kingdom",53.7912775,-1.7666110188908903,POINT (-1.7666110188908903 53.7912775)
Aberystwyth University,"Aberystwyth University, Wales, United Kingdom",52.41554955,-4.065054179671381,POINT (-4.065054179671381 52.41554955)
Manchester Metropolitan University,"Manchester Metropolitan University, Manchester, United Kingdom",53.470606,-2.239141,POINT (-2.239141 53.470606)
Umea University,"Umea University, V'sterbottens l'n, Sweden",63.829952649999996,20.26685569577053,POINT (20.26685569577053 63.829952649999996)
Sheffield Hallam University,"Sheffield Hallam University, Sheffield, United Kingdom",53.38172635,-1.462795139475161,POINT (-1.462795139475161 53.38172635)
"George Brown College, Casa Loma Campus","George Brown College, Casa Loma Campus, Toronto, Canada",43.675977450000005,-79.41057616100673,POINT (-79.41057616100673 43.675977450000005)
University of Wolverhampton,"University of Wolverhampton, Wolverhampton, United Kingdom",52.5908309,-2.12755877919463,POINT (-2.12755877919463 52.5908309)
University of South Wales,"University of South Wales, Wales, United Kingdom",51.58526045,-2.98902266134554,POINT (-2.98902266134554 51.58526045)
Università della Svizzera italiana,"Università della Svizzera italiana, Appenzell Ausserrhoden, Switzerland",46.0109126,8.958120471825609,POINT (8.958120471825609 46.0109126)
Technical University of Ingolstadt,"Technical University of Ingolstadt, Bavaria, Germany",52.31925,13.63262,POINT (13.63262 52.31925)
"Durham College, Oshawa","Durham College, Oshawa, Oshawa, Canada",43.940251,-78.894451,POINT (-78.894451 43.940251)
Bournemouth University,"Bournemouth University, Bournemouth, United Kingdom",50.724645,-1.867095321855011,POINT (-1.867095321855011 50.724645)
University of Bologna,"University of Bologna, Bologna, Italy",44.49653,11.35308,POINT (11.35308 44.49653)
"Algonquin College, Ottawa","Algonquin College, Ottawa, Ottawa, Canada",45.346884,-75.758206,POINT (-75.758206 45.346884)
Deggendorf Institute of Technology,"Deggendorf Institute of Technology, Bavaria, Germany",48.829205,12.943491,POINT (12.943491 48.829205)
ESMT Berlin,"ESMT Berlin, Berlin, Germany",52.524932,13.407032,POINT (13.407032 52.524932)
