University Name,State,Country,Course Name,Average Fees (Per Year),Currency
"Northumbria University, Newcastle",Newcastle upon Tyne,United Kingdom,Masters in  Public Health,17500.0,GBP
"Northumbria University, Newcastle",Newcastle upon Tyne,United Kingdom,Masters in  Public Health (Nutrition),17500.0,GBP
Karolinska Institute,Stockholms l'n,Sweden,Masters in Public Health,180000.0,SEK
Karolinska Institute,Stockholms l'n,Sweden,MS in Erasmus Mundus Master Programme in Public Health in Disasters,18000.0,SEK
City University of New York,New York,United States,MPH in Public Health Nutrition,22613.0,USD
University of Bradford,Bradford,United Kingdom,Masters in Public Health,20468.0,GBP
Umea University,V'sterbottens l'n,Sweden,Masters in Public Health,148400.0,SEK
Monroe College,New York,United States,Masters in Public Health,20678.0,USD
Leeds Beckett University,Leeds,United Kingdom,MSc in Health and Safety,16000.0,GBP
Leeds Beckett University,Leeds,United Kingdom,MSc in Public Health - Health Promotion,16000.0,GBP
Thomas Jefferson University,Pennsylvania,United States,MPH in Public Health,26168.0,USD
University of Central Lancashire,Lancashire,United Kingdom,MSc in Applied Public Health,16900.0,GBP
University of Central Lancashire,Lancashire,United Kingdom,MSc in Applied Public Health,14500.0,GBP
Icahn School of Medicine at Mount Sinai,New York,United States,Masters in Public Health,31500.0,USD
Sheffield Hallam University,Sheffield,United Kingdom,MSc in Public Health,10923.0,GBP
University of Salford,Salford,United Kingdom,MSc in Public Health,16380.0,GBP
University of Bedfordshire,Buckinghamshire,United Kingdom,MSc in Public Health,15600.0,GBP
Saginaw Valley State University,Michigan,United States,MPH in Public Health,18510.0,USD
University of Wolverhampton,Wolverhampton,United Kingdom,Masters in Public Health,15450.0,GBP
Staffordshire University,Stoke-on-Trent,United Kingdom,MSc in Health Psychology,,GBP
University of South Wales,Wales,United Kingdom,MSc in Specialist Community Public Health Nursing (Health Visiting),14700.0,GBP
University of South Wales,Wales,United Kingdom,MSc in  Public Health,15100.0,GBP
University of Bordeaux,Nouvelle-Aquitaine,France,MPH in Public Health Data Science,3770.0,EUR
University of Gothenburg,V'stra G'talands l'n,Sweden,Masters in Public Health Science,155000.0,SEK
University of Chester,Warrington,United Kingdom,MPH in Public Health,14250.0,GBP
University of Chester,Warrington,United Kingdom,MSc in Public Health Nutrition,14250.0,GBP
Robert Gordon University,Aberdeen City,United Kingdom,MSc in Public Health and Health Promotion,13815.0,GBP
