University Name,State,Country,Course Name,Average Fees (Per Year),Currency
University of Massachusetts Lowell,Massachusetts,United States,Masters in International Relations,,USD
Florida International University,Florida,United States,MA in International Relations,18036.0,USD
DePaul University,Illinois,United States,MS in International Public Service,19318.0,USD
Monash University,Victoria,Australia,Masters in International Relations,37900.0,AUD
Monash University,Victoria,Australia,Masters in International Relations and Journalism,37900.0,AUD
Monash University,Victoria,Australia,Masters in International Development and Environmental Analysis,46700.0,AUD
Memorial University of Newfoundland,Newfoundland & Labrador,Canada,Masters in Employment Relations,4833.0,CAD
University of Cambridge,Cambridgeshire,United Kingdom,MSt in International Relations,16302.0,GBP
"Deakin University, Melbourne",Victoria,Australia,Masters in International Relations,33800.0,AUD
The University of Sydney,New South Wales,Australia,Masters in International Relations,47500.0,AUD
Dresden University of Technology,Sohag,Germany,Masters in International Relations,,EUR
The University of Edinburgh,Edinburgh,United Kingdom,MSc in International Relations,28800.0,GBP
The University of Edinburgh,Edinburgh,United Kingdom,MA in International Relations and International Law,23100.0,GBP
University of Edinburgh,Edinburgh,United Kingdom,MA in International Relations,23100.0,GBP
University of Glasgow,Glasgow City,United Kingdom,MSc in International Relations,23520.0,GBP
The University of Queensland,Queensland,Australia,Masters in International Relations,31744.0,AUD
Australian National University,Australian Capital Territory,Australia,Masters in International Relations,49330.0,AUD
"The City College of New York, CCNY",New York,United States,Masters in International Affairs,,USD
University of Warwick,Coventry,United Kingdom,MA in International Relations,26590.0,GBP
University of Leeds,Leeds,United Kingdom,MA in International Relations,22250.0,GBP
"Curtin University, Perth",Western Australia,Australia,Masters in  International Relations and National Security,30450.0,AUD
The University of Auckland,Auckland,New Zealand,MA in Politics and International Relations,37891.0,NZ
University of Northern British Columbia,British Columbia,Canada,Masters in Regional Relations,,CAD
King's College London,London,United Kingdom,MA in International Relations,33258.0,GBP
La Trobe University,Melbourne,Australia,Masters in International Relations,35800.0,AUD
The University of Manchester,Manchester,United Kingdom,MA in International Relations,26000.0,GBP
University of Bath,Bath and North East Somerset,United Kingdom,MA in International Relations,21500.0,GBP
Macquarie University,New South Wales,Australia,Masters in International Public Diplomacy,,AUD
Macquarie University,New South Wales,Australia,Masters in International Relations,41400.0,AUD
Queen Mary University of London,London,United Kingdom,MA in International Relations,22250.0,GBP
Humboldt University of Berlin,Berlin,Germany,Masters in International Relations,,EUR
London School of Economics and Political Science,London,United Kingdom,MSc in International Relations,27816.0,GBP
University of Canterbury,Canterbury,New Zealand,Masters in International Relations and Diplomacy,43500.0,NZ
The University of Western Australia,Western Australia,Australia,MS in International Relations,45067.0,AUD
Baruch College - The City University of New York,New York,United States,Masters in International Affairs,21210.0,USD
University of Central Oklahoma,Oklahoma,United States,Masters in International Affairs,,USD
University of Groningen,Groningen,Netherlands,MA in Geopolitics & Connectivity,14300.0,EUR
University of Groningen,Groningen,Netherlands,MA in International Relations and International Organization,18700.0,EUR
University of Groningen,Groningen,Netherlands,MA in International Relations (60 ECTS),13216.0,EUR
University of Groningen,Groningen,Netherlands,MA in International Humanitarian Action,18500.0,EUR
University of Birmingham,Birmingham,United Kingdom,MA in International Relations,24120.0,GBP
Griffith University,Queensland,Australia,Masters in International Relations,30500.0,AUD
Lancaster University,Lancashire,United Kingdom,LLM in International Human Rights Law,21000.0,GBP
Lancaster University,Lancashire,United Kingdom,MA in International Relations,21000.0,GBP
Cardiff University,Cardiff,United Kingdom,MA in International Public Relations and Global Communications Management,20450.0,GBP
HEC Montréal,Quebec,Canada,M. Sc. in International Affairs,13750.0,CAD
