University Name,State,Country,Course Name,Average Fees (Per Year),Currency,Average Fees in INR
East Carolina University,North Carolina,United States,MS in Software Engineering,14910.0,USD,1245879.6
Youngstown State University,Ohio,United States,Masters in Software Development,,USD,
University of North America,Virginia,United States,Masters in Software Engineering,,USD,
University of Leicester,Leicester,United Kingdom,MSc in Advanced Software Engineering,23650.0,GBP,2500751.0
University of Leicester,Leicester,United Kingdom,MSc in Advanced Software Engineering with Industry,11250.0,GBP,1189575.0
University of Leicester,Leicester,United Kingdom,MSc in Software Engineering,21000.0,GBP,2220540.0
"City, University of London",London,United Kingdom,MSc in Software Engineering with Cloud Computing,22940.0,GBP,2425675.6
Charles Darwin University,Northern Territory,Australia,Masters in Information Technology (Software Engineering),31696.0,AUD,1766418.0799999998
Charles Darwin University,Northern Territory,Australia,Master in Information Technology (Software Engineering),31067.0,AUD,1731363.91
"Charles Sturt University, Bathhurst",New South Wales,Australia,Masters in Mobile Application Development,,AUD,
Heriot-Watt University,Edinburgh,United Kingdom,MSc in Software Engineering,24496.0,GBP,2590207.04
University of Zurich,Z'rich,Switzerland,MSc in Software Systems,1640.0,CHF,153372.8
Tulane University,New York,United States,Masters in Software Engineering,,USD,
"University of Alaska, Fairbanks",Alaska,United States,Masters in Mobile Application Development,,USD,
Queen's University Belfast,Belfast,United Kingdom,MSc in Software Development,23150.0,GBP,2447881.0
University of Otago,Otago,New Zealand,Masters in Software Engineering,61428.0,NZ,3140813.64
University of Detroit Mercy,Michigan,United States,MS in Software Engineering,27810.0,USD,2323803.6
Marist College,New York,United States,MS in Software Development,18987.0,USD,1586553.72
Oxford Brookes University,Oxfordshire,United Kingdom,MSc in Software Engineering,15700.0,GBP,1660118.0
Monmouth University,Illinois,United States,MS in Software Engineering,32850.0,USD,2744946.0
Federation University Australia,Victoria,Australia,Masters in Technology (Software Engineering),28240.0,AUD,1573815.2
Federation University of Australia,Victoria,Australia,Masters in Technology - Software Engineering,26900.0,AUD,1499137.0
Cranfield University,Bedford,United Kingdom,MSc in Computational and Software Techniques in Engineering - Computer and Machine Vision,26580.0,GBP,2810569.1999999997
Fairfield University,Connecticut,United States,MS in Software Engineering,15300.0,USD,1278468.0
Coventry University,Coventry,United Kingdom,MSc in Software Development,20050.0,GBP,2120087.0
University of Augsburg,Bavaria,Germany,MSc in Software Engineering,300.0,EUR,26805.0
Stratford University,Virginia,United States,MS in Software Engineering,21384.0,USD,1786847.04
University of St Andrews,Fife,United Kingdom,MSc in Software Engineering,27230.0,GBP,2879300.1999999997
University of Hertfordshire,Hertfordshire,United Kingdom,MSc in Software Engineering with Placement Year,17950.0,GBP,1898033.0
University of Hertfordshire,Hertfordshire,United Kingdom,MSc in Software Engineering with Advanced Research,18950.0,GBP,2003773.0
University of Hertfordshire,Hertfordshire,United Kingdom,MSc in Software Engineering,15450.0,GBP,1633683.0
New Mexico Highlands University,New Mexico,United States,Masters in Software Engineering,,USD,
University of Westminster,London,United Kingdom,MSc in Software Engineering (Conversion),15000.0,GBP,1586100.0
"Torrens University Australia, Adelaide",South Australia,Australia,"Masters in Software Engineering (Cloud Computing, Advanced)",34768.0,AUD,1937620.64
"Torrens University Australia, Adelaide",South Australia,Australia,"Masters in Software Engineering (Artificial Intelligence, Advanced)",34768.0,AUD,1937620.64
Jonkoping University,J'nk'pings l'n,Sweden,Masters in Software Product Engineering,,SEK,
University of Sherbrooke,Sherbrooke,Canada,MSc in Software Engineering,13067.0,CAD,797087.0
"Nottingham Trent University, Clifton Campus",Nottingham,United Kingdom,MSc in Software Engineering,19500.0,GBP,2061930.0
"Nottingham Trent University, Clifton Campus",Nottingham,United Kingdom,MSc in Software Engineering,19500.0,GBP,2061930.0
