University Name,State,Country,Course Name,course,Average Fees (Per Year),Currency,Average Fees in INR
University of South Dakota,South Dakota,United States,Masters in International Relations,International Relations,,USD,
University of Leicester,Leicester,United Kingdom,MA in International Relations,International Relations,16850.0,GBP,1781719.0
University of North Florida,Florida,United States,Masters in International Affairs,International Relations,,USD,
University of Potsdam,Brandenburg,Germany,Masters in International Relations,International Relations,,EUR,
Constructor University,Bremen,Germany,MA in International Relations,International Relations,,EUR,
American University,Washington,United States,MA in International Economic Relations,International Relations,34596.0,USD,2890841.76
University of Nottingham,Nottingham,United Kingdom,MA in International Relations,International Relations,21000.0,GBP,2220540.0
Brunel University,London,United Kingdom,MA in International Relations,International Relations,23615.0,GBP,2497050.1
Victoria University of Wellington,Wellington,New Zealand,MIR in International Relations,International Relations,48200.0,NZ,2464466.0
University of Bristol,Bristol,United Kingdom,MSc in International Relations,International Relations,25400.0,GBP,2685796.0
University of Bristol,Bristol,United Kingdom,MSc in Gender and International Relations,International Relations,21200.0,GBP,2241688.0
Murdoch University,Western Australia,Australia,Masters in International Affairs,International Relations,,AUD,
Queen's University Belfast,Belfast,United Kingdom,MSc in International Relations,International Relations,16400.0,GBP,1734136.0
Queen's University Belfast,Belfast,United Kingdom,PGDip in International Relations,International Relations,12133.0,GBP,1282943.42
Erasmus University Rotterdam,South Holland,Netherlands,Masters in International Trade Law,International Relations,13500.0,EUR,1206225.0
Middle Tennessee State University,Tennessee,United States,Masters in International Affairs,International Relations,,USD,
Leiden University,South Holland,Netherlands,MSc in International Relations and Diplomacy,International Relations,19750.0,EUR,1764662.5
Leiden University,South Holland,Netherlands,MA in International Relations,International Relations,18800.0,EUR,1679780.0
University of York,York,United Kingdom,Masters in International Relations,International Relations,19950.0,GBP,2109513.0
University of Exeter,Devon,United Kingdom,MSc in International Relations,International Relations,20500.0,GBP,2167670.0
Webster University,Missouri,United States,MA in International Relations,International Relations,13140.0,USD,1097978.4
"Royal Holloway, University of London",Surrey,United Kingdom,MSc in International Public Policy,International Relations,17600.0,GBP,1861024.0
Oxford Brookes University,Oxfordshire,United Kingdom,Masters in International Relations,International Relations,15700.0,GBP,1660118.0
Oxford Brookes University,Oxfordshire,United Kingdom,Masters in International Security,International Relations,15800.0,GBP,1670692.0
Aston University,Birmingham,United Kingdom,MSc in International Relations,International Relations,22750.0,GBP,2405585.0
Durham University,Durham,United Kingdom,MA in International Relations,International Relations,25500.0,GBP,2696370.0
University of Essex,Essex,United Kingdom,MSc in Quantitative International Development,International Relations,21350.0,GBP,2257549.0
University of Essex,Essex,United Kingdom,MA in International Relations,International Relations,20700.0,GBP,2188818.0
Helmut Schmidt University (Bundeswehr),Hamburg,Germany,Masters in International Relations,International Relations,,EUR,
"St. Marys University, Texas",Texas,United States,MA in International Relations,International Relations,17640.0,USD,1473998.4
University of Reading,Reading,United Kingdom,MA in International Relations,International Relations,18650.0,GBP,1972051.0
University of Reading,Reading,United Kingdom,MRes in Politics and International Relations,International Relations,18650.0,GBP,1972051.0
University of West Florida,Florida,United States,MA in International Affairs,International Relations,17111.0,USD,1429795.16
Bond University,Queensland,Australia,Masters in International Relations (Professional),International Relations,33594.0,AUD,1872193.62
Bond University,Queensland,Australia,Masters in International Relations,International Relations,48900.0,AUD,2725197.0
Teesside University,Darlington,United Kingdom,MSc in International Management (Accountancy) (Applied),International Relations,9000.0,GBP,951660.0
Teesside University,Darlington,United Kingdom,MA in International Relations (Applied),International Relations,8500.0,GBP,898790.0
Teesside University,Darlington,United Kingdom,MA in International Relations,International Relations,14000.0,GBP,1480360.0
Coventry University,Coventry,United Kingdom,Masters in International Relations,International Relations,16950.0,GBP,1792293.0
University of Sussex,East Sussex,United Kingdom,MA in International Relations,International Relations,18975.0,GBP,2006416.5
University of Aberdeen,Aberdeen City,United Kingdom,MSc in International Relations and International Law,International Relations,22400.0,GBP,2368576.0
University of Aberdeen,Aberdeen City,United Kingdom,MSc in International Relations,International Relations,22400.0,GBP,2368576.0
University of Aberdeen,Aberdeen City,United Kingdom,MS in International Relations,International Relations,22400.0,GBP,2368576.0
University of Aberdeen,Aberdeen City,United Kingdom,MSc in International Relations and Management,International Relations,23800.0,GBP,2516612.0
University of Indianapolis,Indiana,United States,Masters in International Relations,International Relations,10184.0,USD,850975.04
Swansea University,Wales,United Kingdom,MA  in International Security and Development,International Relations,18400.0,GBP,1945616.0
Swansea University,Wales,United Kingdom,MA in International Relations,International Relations,20250.0,GBP,2141235.0
Swansea University,Wales,United Kingdom,MA in International Relations,International Relations,18300.0,GBP,1935042.0
"Nottingham Trent University, City Campus",Nottingham,United Kingdom,Masters in International Relations,International Relations,15850.0,GBP,1675979.0
"Nottingham Trent University, City Campus",Nottingham,United Kingdom,MA in International Relations and Security,International Relations,16800.0,GBP,1776432.0
University of East London,London,United Kingdom,MSc in International Relations,International Relations,15060.0,GBP,1592444.4
University of Hertfordshire,Hertfordshire,United Kingdom,Masters in International Relations with Placement Year,International Relations,16000.0,GBP,1691840.0
University of Hertfordshire,Hertfordshire,United Kingdom,Masters in International Relations with Advanced Research,International Relations,14750.0,GBP,1559665.0
University of Hertfordshire,Hertfordshire,United Kingdom,Masters in International Relations,International Relations,14750.0,GBP,1559665.0
Linnaeus University Sweden,Kronobergs l'n,Sweden,Masters in International Affairs,International Relations,110000.0,SEK,874500.0
University of Kent,Kent,United Kingdom,MA in International Relations,International Relations,,GBP,
University of Portsmouth,Portsmouth,United Kingdom,Masters in International Relations,International Relations,,GBP,
University of East Anglia,Norfolk,United Kingdom,MSc in Economics and International Relations,International Relations,19800.0,GBP,2093652.0
University of East Anglia,Norfolk,United Kingdom,MA in International Relations,International Relations,18500.0,GBP,1956190.0
University of Westminster,London,United Kingdom,Masters in International Relations,International Relations,15000.0,GBP,1586100.0
University of Westminster,London,United Kingdom,MA in INTERNATIONAL RELATIONS AND DEMOCRATIC POLITICS,International Relations,15000.0,GBP,1586100.0
University of Dundee,Dundee City,United Kingdom,MA (Hons) in History and International Relations,International Relations,19500.0,GBP,2061930.0
University of Dundee,Dundee City,United Kingdom,MSc in International Relations,International Relations,20900.0,GBP,2209966.0
University of Surrey,Surrey,United Kingdom,MSc in International Relations,International Relations,19200.0,GBP,2030208.0
University of Surrey,Surrey,United Kingdom,Masters in International Relations,International Relations,,GBP,
Middlesex University,London,United Kingdom,Masters in International Relations,International Relations,16800.0,GBP,1776432.0
Anglia Ruskin University,London,United Kingdom,MA in International Relations,International Relations,15840.0,GBP,1674921.6
"Nottingham Trent University, Clifton Campus",Nottingham,United Kingdom,MA in International Development,International Relations,17500.0,GBP,1850450.0
"Northumbria University, Newcastle",Newcastle upon Tyne,United Kingdom,"Masters in International Relations, Conflict and Security",International Relations,17500.0,GBP,1850450.0
"International Institute in Geneva, Switzerland",Geneva,Switzerland,MS in International Relations and Diplomacy,International Relations,,CHF,
Geneva Business School,Geneva,Switzerland,MBA in International Relations,International Relations,,CHF,
Catholic University of Eichstätt-Ingolstadt,Bavaria,Germany,Masters in International Relations,International Relations,,EUR,
Yong Siew Toh Conservatory of Music,Singapore,Singapore,Masters in International Affairs,International Relations,,SGD,
Aberystwyth University,Wales,United Kingdom,MA in International Relations (Research Training),International Relations,16665.0,GBP,1762157.1
Aberystwyth University,Wales,United Kingdom,MA in International Relations (Specialist),International Relations,16665.0,GBP,1762157.1
Leeds Beckett University,Leeds,United Kingdom,MA in International Relations,International Relations,15000.0,GBP,1586100.0
S. Rajaratnam School of International Studies,Singapore,Singapore,Masters in International Relations,International Relations,,SGD,
University of Central Lancashire,Lancashire,United Kingdom,MA in International Relations,International Relations,14500.0,GBP,1533230.0
Sheffield Hallam University,Sheffield,United Kingdom,MA in International Relations and Global Crises,International Relations,14895.0,GBP,1574997.3
University of Bedfordshire,Buckinghamshire,United Kingdom,MSc in International Relations Management,International Relations,14600.0,GBP,1543804.0
De Montfort University,Leicester,United Kingdom,MA in International Relations,International Relations,15800.0,GBP,1670692.0
