University Name,State,Country,Course Name,course,Average Fees (Per Year),Currency,Average Fees in INR
University of Newcastle,New South Wales,Australia,Masters in Public Health,Public health,37555.0,AUD,2092940.15
Youngstown State University,Ohio,United States,Masters in Public Health,Public health,24780.0,USD,2070616.8
University of North Florida,Florida,United States,Masters in Public Health,Public health,,USD,
"City, University of London",London,United Kingdom,Masters in Public Health,Public health,15500.0,GBP,1638970.0
University of Nottingham,Nottingham,United Kingdom,MPH in Public Health (Global Health),Public health,25250.0,GBP,2669935.0
University of Nottingham,Nottingham,United Kingdom,Masters in Public Health,Public health,25250.0,GBP,2669935.0
Western Kentucky University,Kentucky,United States,Masters in Public Health,Public health,,USD,
East Tennessee State University,Tennessee,United States,MPH in Public Health,Public health,30939.0,USD,2585262.84
Charles Darwin University,Northern Territory,Australia,Masters in Public Health/Health Research,Public health,29520.0,AUD,1645149.6
Charles Darwin University,Northern Territory,Australia,MPH in Public Health,Public health,29520.0,AUD,1645149.6
"Georgia Southern University, Armstrong Campus Savannah",Georgia,United States,Masters in Public Health,Public health,,USD,
Brunel University,London,United Kingdom,MSc in Public Health and Health Promotion,Public health,23615.0,GBP,2497050.1
Tulane University,New York,United States,Masters in Public Health,Public health,,USD,
University of Bristol,Bristol,United Kingdom,MSc in Public Health,Public health,24900.0,GBP,2632926.0
Sam Houston State University,Texas,United States,Masters in Public Health,Public health,,USD,
Keio University,Tokyo,Japan,Masters in Public Health,Public health,,JP,
Queen's University Belfast,Belfast,United Kingdom,MPH in Global Health,Public health,19100.0,GBP,2019634.0
Queen's University Belfast,Belfast,United Kingdom,MPH in Public Health,Public health,19100.0,GBP,2019634.0
University of York,York,United Kingdom,Masters in Public Health,Public health,23900.0,GBP,2527186.0
University of Exeter,Devon,United Kingdom,MPH in Public Health,Public health,27500.0,GBP,2907850.0
University of Exeter,Devon,United Kingdom,MSc  in Health Data Science,Public health,23000.0,GBP,2432020.0
"City University Of New York, Lehman College",New York,United States,Masters in Public Health,Public health,,USD,
Oxford Brookes University,Oxfordshire,United Kingdom,MPH in Public Health,Public health,16950.0,GBP,1792293.0
James Madison University,Virginia,United States,Masters in Public Health,Public health,,USD,
Aston University,Birmingham,United Kingdom,Masters in Public Health,Public health,22750.0,GBP,2405585.0
Stockholm University,Stockholms l'n,Sweden,Masters in Public Health Sciences: Societal Perspectives on Public Health,Public health,121500.0,SEK,965925.0
Stockholm University,Stockholms l'n,Sweden,MS in public health sciences: individual perspectives,Public health,121500.0,SEK,965925.0
Carolina University,North Carolina,United States,MS in Public Health,Public health,14400.0,USD,1203264.0
Eastern Washington University,Washington,United States,Masters in Public Health,Public health,,USD,
University of Essex,Essex,United Kingdom,MSc in Global Public Health,Public health,21700.0,GBP,2294558.0
University of Essex,Essex,United Kingdom,MSc By Dissertation in Public Health,Public health,8525.0,GBP,901433.5
Federation University Australia,Victoria,Australia,Masters in Public Health,Public health,23000.0,AUD,1281790.0
University of Canberra,Australian Capital Territory,Australia,Masters in Public Health,Public health,33000.0,AUD,1839090.0
University of Tsukuba,Ibaraki,Japan,Masters in Public Health,Public health,,JP,
University of West Florida,Florida,United States,Graduate certificate in Health Leadership Communication,Public health,6222.0,USD,519910.32
University of Montana,Montana,United States,Masters in Public Health,Public health,33102.0,USD,2766003.12
Teesside University,Darlington,United Kingdom,MSc in Specialist Community Public Health Nursing (Health Visiting),Public health,15000.0,GBP,1586100.0
Teesside University,Darlington,United Kingdom,MPH in  Public Health (Applied),Public health,10000.0,GBP,1057400.0
Teesside University,Darlington,United Kingdom,MSc in Specialist Community Public Health Nursing (School Nursing),Public health,15000.0,GBP,1586100.0
Teesside University,Darlington,United Kingdom,Masters in  Public Health,Public health,15000.0,GBP,1586100.0
Coventry University,Coventry,United Kingdom,MSc in Public Health Nutrition,Public health,18600.0,GBP,1966764.0
University of Sussex,East Sussex,United Kingdom,MSc in Public Health,Public health,21500.0,GBP,2273410.0
University of Aberdeen,Aberdeen City,United Kingdom,MSc in Global Health and Management,Public health,23800.0,GBP,2516612.0
University of Aberdeen,Aberdeen City,United Kingdom,MPH in Public Health,Public health,25100.0,GBP,2654074.0
Jackson State University,Mississippi,United States,MPH in Public Health,Public health,21600.0,USD,1804896.0
Southern Connecticut State University,Connecticut,United States,MPH in Public Health: Executive Management And Leadership,Public health,24213.0,USD,2023238.28
Southern Connecticut State University,Connecticut,United States,MPH in Public Health: Health Promotion,Public health,27672.0,USD,2312272.32
East Stroudsburg University,Pennsylvania,United States,MPH in Public Health,Public health,17157.0,USD,1433638.92
Birmingham City University,Birmingham,United Kingdom,Masters in  Public Health,Public health,17710.0,GBP,1872655.4
"MCPHS University, Boston",Massachusetts,United States,MPH in Public Health,Public health,28980.0,USD,2421568.8
University of Indianapolis,Indiana,United States,Masters in Public Health,Public health,,USD,
University of East London,London,United Kingdom,MSc in Public Health,Public health,15240.0,GBP,1611477.6
University of Hertfordshire,Hertfordshire,United Kingdom,MSc in Advanced Physiotherapy,Public health,14750.0,GBP,1559665.0
Sonoma State University,California,United States,Masters in Public Health,Public health,,USD,
La Salle University,Pennsylvania,United States,MPH in Public Health,Public health,22320.0,USD,1865059.2
Morgan State University,Maryland,United States,Masters in Public Health,Public health,,USD,
University of Westminster,London,United Kingdom,MSc in Integrative Health and Wellbeing,Public health,15000.0,GBP,1586100.0
University of Westminster,London,United Kingdom,MSc in Global Public Health Nutrition,Public health,14000.0,GBP,1480360.0
University of Dundee,Dundee City,United Kingdom,Masters in Public Health,Public health,21900.0,GBP,2315706.0
University of Greenwich,London,United Kingdom,MSc in Global Public Health,Public health,16300.0,GBP,1723562.0
"Massachusetts College of Pharmacy and Health Science, Boston Campus",Massachusetts,United States,Masters in Public Health,Public health,28980.0,USD,2421568.8
Australian Catholic University,New South Wales,Australia,Masters in Public Health (Global Health and Advocacy),Public health,25320.0,AUD,1411083.6
Australian Catholic University,New South Wales,Australia,Masters in Public Health,Public health,12660.0,AUD,705541.8
University of Huddersfield,York,United Kingdom,Masters in Public Health (Global) Advanced Practitioner,Public health,17000.0,GBP,1797580.0
University of Huddersfield,York,United Kingdom,Masters in Public Health,Public health,18700.0,GBP,1977338.0
"Torrens University Australia, Adelaide",South Australia,Australia,Masters in Business Administration and Public Health,Public health,24250.0,AUD,1351452.5
"Torrens University Australia, Adelaide",South Australia,Australia,Masters in Public Health (Advanced),Public health,25200.0,AUD,1404396.0
"Torrens University Australia, Adelaide",South Australia,Australia,Masters in Public Health,Public health,25200.0,AUD,1404396.0
Anglia Ruskin University,London,United Kingdom,MPH in Global Public Health,Public health,15000.0,GBP,1586100.0
Anglia Ruskin University,London,United Kingdom,MSc in Public Health and Community Wellbeing,Public health,15900.0,GBP,1681266.0
University of Copenhagen,Copenhagen,Denmark,MS in Global Health,Public health,125000.0,USD,10445000.0
University of Southern Maine,Maine,United States,MPH in Public Health,Public health,17033.0,USD,1423277.48
"Nottingham Trent University, Clifton Campus",Nottingham,United Kingdom,MA in Public Health,Public health,16500.0,GBP,1744710.0
New York Medical College,New York,United States,Masters in Public Health,Public health,28290.0,USD,2363912.4
Bangor University,Gwynedd,United Kingdom,MPhil in Health Economics,Public health,19500.0,GBP,2061930.0
Bangor University,Gwynedd,United Kingdom,MSc in  Public Health and Health Promotion,Public health,18000.0,GBP,1903320.0
Cardiff Metropolitan University,Wales,United Kingdom,MSc in Applied Public Health,Public health,17600.0,GBP,1861024.0
Cardiff Metropolitan University,Wales,United Kingdom,MSc in Applied Public Health,Public health,15968.0,GBP,1688456.32
"Northumbria University, Newcastle",Newcastle upon Tyne,United Kingdom,Masters in  Public Health,Public health,17500.0,GBP,1850450.0
"Northumbria University, Newcastle",Newcastle upon Tyne,United Kingdom,Masters in  Public Health (Nutrition),Public health,17500.0,GBP,1850450.0
Karolinska Institute,Stockholms l'n,Sweden,Masters in Public Health,Public health,180000.0,SEK,1431000.0
Karolinska Institute,Stockholms l'n,Sweden,MS in Erasmus Mundus Master Programme in Public Health in Disasters,Public health,18000.0,SEK,143100.0
City University of New York,New York,United States,MPH in Public Health Nutrition,Public health,22613.0,USD,1889542.28
University of Bradford,Bradford,United Kingdom,Masters in Public Health,Public health,20468.0,GBP,2164286.32
Umea University,V'sterbottens l'n,Sweden,Masters in Public Health,Public health,148400.0,SEK,1179780.0
Monroe College,New York,United States,Masters in Public Health,Public health,20678.0,USD,1727853.68
Leeds Beckett University,Leeds,United Kingdom,MSc in Health and Safety,Public health,16000.0,GBP,1691840.0
Leeds Beckett University,Leeds,United Kingdom,MSc in Public Health - Health Promotion,Public health,16000.0,GBP,1691840.0
Thomas Jefferson University,Pennsylvania,United States,MPH in Public Health,Public health,26168.0,USD,2186598.08
University of Central Lancashire,Lancashire,United Kingdom,MSc in Applied Public Health,Public health,16900.0,GBP,1787006.0
University of Central Lancashire,Lancashire,United Kingdom,MSc in Applied Public Health,Public health,14500.0,GBP,1533230.0
Icahn School of Medicine at Mount Sinai,New York,United States,Masters in Public Health,Public health,31500.0,USD,2632140.0
Sheffield Hallam University,Sheffield,United Kingdom,MSc in Public Health,Public health,10923.0,GBP,1154998.02
University of Salford,Salford,United Kingdom,MSc in Public Health,Public health,16380.0,GBP,1732021.2
University of Bedfordshire,Buckinghamshire,United Kingdom,MSc in Public Health,Public health,15600.0,GBP,1649544.0
Saginaw Valley State University,Michigan,United States,MPH in Public Health,Public health,18510.0,USD,1546695.6
University of Wolverhampton,Wolverhampton,United Kingdom,Masters in Public Health,Public health,15450.0,GBP,1633683.0
Staffordshire University,Stoke-on-Trent,United Kingdom,MSc in Health Psychology,Public health,,GBP,
University of South Wales,Wales,United Kingdom,MSc in Specialist Community Public Health Nursing (Health Visiting),Public health,14700.0,GBP,1554378.0
University of South Wales,Wales,United Kingdom,MSc in  Public Health,Public health,15100.0,GBP,1596674.0
University of Bordeaux,Nouvelle-Aquitaine,France,MPH in Public Health Data Science,Public health,3770.0,EUR,336849.5
University of Gothenburg,V'stra G'talands l'n,Sweden,Masters in Public Health Science,Public health,155000.0,SEK,1232250.0
University of Chester,Warrington,United Kingdom,MPH in Public Health,Public health,14250.0,GBP,1506795.0
University of Chester,Warrington,United Kingdom,MSc in Public Health Nutrition,Public health,14250.0,GBP,1506795.0
Robert Gordon University,Aberdeen City,United Kingdom,MSc in Public Health and Health Promotion,Public health,13815.0,GBP,1460798.1
Robert Gordon University,Aberdeen City,United Kingdom,MSc in Public Health Nutrition,Public health,12850.0,GBP,1358759.0
Bournemouth University,Bournemouth,United Kingdom,MSc in  Public Health,Public health,15250.0,GBP,1612535.0
University of Derby,Derby,United Kingdom,MPH in Public Health,Public health,14900.0,GBP,1575526.0
University of Brighton,Brighton and Hove,United Kingdom,MSc in Public Health,Public health,19920.0,GBP,2106340.8
Ulster University,Coleraine,United Kingdom,MSc in Health Promotion and Public Health,Public health,17090.0,GBP,1807096.6
Edge Hill University,Lancashire,United Kingdom,MSc in Public Health Nutrition,Public health,13750.0,GBP,1453925.0
Liverpool John Moores University,Liverpool,United Kingdom,MSc in International Public Health,Public health,16900.0,GBP,1787006.0
Liverpool John Moores University,Liverpool,United Kingdom,MSc in Public Health Addictions,Public health,16900.0,GBP,1787006.0
Liverpool John Moores University,Liverpool,United Kingdom,MSc in Public Health,Public health,16900.0,GBP,1787006.0
University of the West of Scotland,London,United Kingdom,MPH in Public Health,Public health,17250.0,GBP,1824015.0
University of West London,London,United Kingdom,MSc in Public Health,Public health,14750.0,GBP,1559665.0
University of West London,London,United Kingdom,MSc in Psychology of Health and Illness,Public health,13750.0,GBP,1453925.0
Glasgow Caledonian University,Glasgow City,United Kingdom,MPH in Public Health,Public health,15539.0,GBP,1643093.86
Campbell University,North Carolina,United States,MS in Public Health,Public health,20790.0,USD,1737212.4
"St George’s, University of London",London,United Kingdom,MSc in Global Health and Humanities,Public health,25200.0,GBP,2664648.0
"University of Colorado, Anschutz Medical",Colorado,United States,Masters in Public Health,Public health,29820.0,USD,2491759.2
London Metropolitan University,London,United Kingdom,MSc in Public Health,Public health,16500.0,GBP,1744710.0
London Metropolitan University,London,United Kingdom,MSc in Public Health,Public health,16225.0,GBP,1715631.5
University of the West of England,Bristol,United Kingdom,MSc in Public Health,Public health,15500.0,GBP,1638970.0
Université Paris Cité,Paris,France,MS in Public Health,Public health,,EUR,
Canterbury Christ Church University,Kent,United Kingdom,MSc in Global Public Health,Public health,14500.0,GBP,1533230.0
Canterbury Christ Church University,Kent,United Kingdom,MSc in Public Health,Public health,13365.0,GBP,1413215.1
University of Sunderland,Sunderland,United Kingdom,MSc in Public Health (London),Public health,13750.0,GBP,1453925.0
University of Sunderland,Sunderland,United Kingdom,MSc in Public Health,Public health,15900.0,GBP,1681266.0
